
"nodeName", "library", "inputType", "completeName", "summary"
"TimeSpan.TotalDays","M:DSCore","System.TimeSpan","M:DSCore.TimeSpan.TotalDays(System.TimeSpan)","Converts the total amount of time represented by a TimeSpan to aninexact number of days."
"TimeSpan.TotalHours","M:DSCore","System.TimeSpan","M:DSCore.TimeSpan.TotalHours(System.TimeSpan)","Converts the total amount of time represented by a TimeSpan to aninexact number of hours."
"TimeSpan.TotalMinutes","M:DSCore","System.TimeSpan","M:DSCore.TimeSpan.TotalMinutes(System.TimeSpan)","Converts the total amount of time represented by a TimeSpan to aninexact number of minutes."
"TimeSpan.TotalSeconds","M:DSCore","System.TimeSpan","M:DSCore.TimeSpan.TotalSeconds(System.TimeSpan)","Converts the total amount of time represented by a TimeSpan to aninexact number of seconds."
"TimeSpan.TotalMilliseconds","M:DSCore","System.TimeSpan","M:DSCore.TimeSpan.TotalMilliseconds(System.TimeSpan)","Converts the total amount of time represented by a TimeSpan to aninexact number of milliseconds."
"IO.FileSystem","T:DSCore","","T:DSCore.IO.FileSystem","Methods for working with Files."
"IO.FileSystem.AbsolutePath","M:DSCore","System.String,System.String","M:DSCore.IO.FileSystem.AbsolutePath(System.String,System.String)","Returns absolute path from the given path. If the given path is relative path then it is resolved with respect to the current workspace. If file doesn't exist at the relative path but existsat the given hintPath then hintPath is returned."
"IO.FileSystem.FileFromPath","M:DSCore","System.String","M:DSCore.IO.FileSystem.FileFromPath(System.String)","Creates File object from given file path."
"IO.FileSystem.ReadText","M:DSCore","System.IO.FileInfo","M:DSCore.IO.FileSystem.ReadText(System.IO.FileInfo)","Reads a text file and returns the contents as a string."
"IO.FileSystem.MoveFile","M:DSCore","System.String,System.String,System.Boolean","M:DSCore.IO.FileSystem.MoveFile(System.String,System.String,System.Boolean)"," Moves a specified file to a new location"
"IO.FileSystem.DeleteFile","M:DSCore","System.String","M:DSCore.IO.FileSystem.DeleteFile(System.String)","Deletes the specified file."
"IO.FileSystem.CopyFile","M:DSCore","System.IO.FileInfo,System.String,System.Boolean","M:DSCore.IO.FileSystem.CopyFile(System.IO.FileInfo,System.String,System.Boolean)","Copies a file."
"IO.FileSystem.FileExists","M:DSCore","System.String","M:DSCore.IO.FileSystem.FileExists(System.String)","Determines if a file exists at the given path."
"IO.FileSystem.WriteText","M:DSCore","System.String,System.String","M:DSCore.IO.FileSystem.WriteText(System.String,System.String)","Write the text content to a file specified by the path"
"IO.FileSystem.AppendText","M:DSCore","System.String,System.String","M:DSCore.IO.FileSystem.AppendText(System.String,System.String)","Append the text content to a file specified by the path"
"IO.FileSystem.CombinePath","M:DSCore","System.String[]","M:DSCore.IO.FileSystem.CombinePath(System.String[])","Combines multiple strings into a single file path."
"IO.FileSystem.FileExtension","M:DSCore","System.String","M:DSCore.IO.FileSystem.FileExtension(System.String)","Returns the extension from a file path."
"IO.FileSystem.ChangePathExtension","M:DSCore","System.String,System.String","M:DSCore.IO.FileSystem.ChangePathExtension(System.String,System.String)","Changes the extension of a file path."
"IO.FileSystem.DirectoryName","M:DSCore","System.String","M:DSCore.IO.FileSystem.DirectoryName(System.String)","Returns the directory name of a file path."
"IO.FileSystem.FileName","M:DSCore","System.String,System.Boolean","M:DSCore.IO.FileSystem.FileName(System.String,System.Boolean)","Returns the file name of a file path."
"IO.FileSystem.FileHasExtension","M:DSCore","System.String","M:DSCore.IO.FileSystem.FileHasExtension(System.String)","Determines whether or not a file path contains an extension."
"IO.FileSystem.CopyDirectory","M:DSCore","System.IO.DirectoryInfo,System.String,System.Boolean","M:DSCore.IO.FileSystem.CopyDirectory(System.IO.DirectoryInfo,System.String,System.Boolean)","Copies a directory to a destination location."
"IO.FileSystem.DeleteDirectory","M:DSCore","System.String,System.Boolean","M:DSCore.IO.FileSystem.DeleteDirectory(System.String,System.Boolean)","Deletes a directory."
"IO.FileSystem.DirectoryExists","M:DSCore","System.String","M:DSCore.IO.FileSystem.DirectoryExists(System.String)","Determines if a directory exists at the given path."
"IO.FileSystem.MoveDirectory","M:DSCore","System.String,System.String,System.Boolean","M:DSCore.IO.FileSystem.MoveDirectory(System.String,System.String,System.Boolean)","Moves a directory to a new location."
"IO.Image","T:DSCore","","T:DSCore.IO.Image","Methods for operating on Image Bitmaps."
"IO.Image.ReadFromFile","M:DSCore","System.IO.FileInfo","M:DSCore.IO.Image.ReadFromFile(System.IO.FileInfo)","Loads the file as a bitmap."
"IO.Image.Pixels","M:DSCore","System.Drawing.Bitmap,System.Nullable{System.Int32},System.Nullable{System.Int32}","M:DSCore.IO.Image.Pixels(System.Drawing.Bitmap,System.Nullable{System.Int32},System.Nullable{System.Int32})","Reads an image file and returns the color values at the specified grid locations."
"IO.Image.FromPixels","M:DSCore","DSCore.Color[][]","M:DSCore.IO.Image.FromPixels(DSCore.Color[][])","Constructs an image from a 2d list of pixels."
"IO.Image.FromPixels","M:DSCore","DSCore.Color[],System.Int32,System.Int32","M:DSCore.IO.Image.FromPixels(DSCore.Color[],System.Int32,System.Int32)","Constructs an image from a flat list of pixels, a width, and a height."
"IO.Image.Dimensions","M:DSCore","System.Drawing.Bitmap","M:DSCore.IO.Image.Dimensions(System.Drawing.Bitmap)","Returns the width and height of an image."
"IO.Image.WriteToFile","M:DSCore","System.String,System.Drawing.Bitmap","M:DSCore.IO.Image.WriteToFile(System.String,System.Drawing.Bitmap)","Write the image to a path, given the specified file name."
"List","T:DSCore","","T:DSCore.List","Methods for creating and manipulating Lists."
"List.Empty","P:DSCore","","P:DSCore.List.Empty","Returns an Empty List."
"List.UniqueItems","M:DSCore","System.Collections.IList","M:DSCore.List.UniqueItems(System.Collections.IList)","Creates a new list containing all unique items in the given list."
"List.Contains","M:DSCore","System.Collections.IList,System.Object","M:DSCore.List.Contains(System.Collections.IList,System.Object)","Determines if the given list contains the given item. This function searches through the sublists contained in it."
"List.IsHomogeneous","M:DSCore","System.Collections.IList","M:DSCore.List.IsHomogeneous(System.Collections.IList)","Check if the items in the list are of the same type."
"List.IsRectangular","M:DSCore","System.Collections.IList","M:DSCore.List.IsRectangular(System.Collections.IList)","Check if the number of items in all rows of the list are the same."
"List.IsUniformDepth","M:DSCore","System.Collections.IList","M:DSCore.List.IsUniformDepth(System.Collections.IList)","Check if the items in the list have the same depth."
"List.SetDifference","M:DSCore","System.Collections.Generic.IList{System.Object},System.Collections.Generic.IList{System.Object}","M:DSCore.List.SetDifference(System.Collections.Generic.IList{System.Object},System.Collections.Generic.IList{System.Object})","Returns a new list that includes objects in List1 but excludes objects in List2."
"List.SetIntersection","M:DSCore","System.Collections.Generic.IList{System.Object},System.Collections.Generic.IList{System.Object}","M:DSCore.List.SetIntersection(System.Collections.Generic.IList{System.Object},System.Collections.Generic.IList{System.Object})","Returns a new list that includes objects that are present in both List1 and List2."
"List.SetUnion","M:DSCore","System.Collections.Generic.IList{System.Object},System.Collections.Generic.IList{System.Object}","M:DSCore.List.SetUnion(System.Collections.Generic.IList{System.Object},System.Collections.Generic.IList{System.Object})","Returns a new list that includes objects that are present in either List1 or List2."
"List.IndexOf","M:DSCore","System.Collections.IList,System.Object","M:DSCore.List.IndexOf(System.Collections.IList,System.Object)","Returns the index of the element in the given list."
"List.CountFalse","M:DSCore","System.Collections.IList","M:DSCore.List.CountFalse(System.Collections.IList)","Returns the number of false boolean values in the given list."
"List.CountTrue","M:DSCore","System.Collections.IList","M:DSCore.List.CountTrue(System.Collections.IList)","Returns the number of true boolean values in the given list."
"List.Insert","M:DSCore","System.Collections.IList,System.Object,System.Int32","M:DSCore.List.Insert(System.Collections.IList,System.Object,System.Int32)","Inserts an element into a list at specified index."
"List.Reorder","M:DSCore","System.Collections.IList,System.Collections.IList","M:DSCore.List.Reorder(System.Collections.IList,System.Collections.IList)","Reorders the input list based on the given list of indices."
"List.SortIndexByValue","M:DSCore","System.Collections.Generic.List{System.Double}","M:DSCore.List.SortIndexByValue(System.Collections.Generic.List{System.Double})","Sorts a list by the items and return their indices."
"List.NormalizeDepth","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.NormalizeDepth(System.Collections.IList,System.Int32)","Returns multidimensional list according the rank given."
"List.Reverse","M:DSCore","System.Collections.IList","M:DSCore.List.Reverse(System.Collections.IList)","Creates a new list containing the items of the given list but in reverse order."
"List.__Create","M:DSCore","System.Collections.IList","M:DSCore.List.__Create(System.Collections.IList)","Creates a new list containing the given items."
"List.Sublists","M:DSCore","System.Collections.IList,System.Collections.IList,System.Int32","M:DSCore.List.Sublists(System.Collections.IList,System.Collections.IList,System.Int32)","Build sublists from a list using DesignScript range syntax."
"List.Sort","M:DSCore","System.Collections.Generic.IEnumerable{System.Object}","M:DSCore.List.Sort(System.Collections.Generic.IEnumerable{System.Object})","Sorts a list using the built-in natural ordering."
"List.MinimumItem","M:DSCore","System.Collections.Generic.IEnumerable{System.Object}","M:DSCore.List.MinimumItem(System.Collections.Generic.IEnumerable{System.Object})","Returns the minimum value from a list."
"List.MaximumItem","M:DSCore","System.Collections.Generic.IEnumerable{System.Object}","M:DSCore.List.MaximumItem(System.Collections.Generic.IEnumerable{System.Object})","Returns the maximum value from a list."
"List.FilterByBoolMask","M:DSCore","System.Collections.IList,System.Collections.IList","M:DSCore.List.FilterByBoolMask(System.Collections.IList,System.Collections.IList)","Filters a sequence by looking up corresponding indices in a separate list ofbooleans."
"List.Deconstruct","M:DSCore","System.Collections.IList","M:DSCore.List.Deconstruct(System.Collections.IList)","Given a list, produces the first item in the list, and a new list containing all itemsexcept the first."
"List.SortByKey","M:DSCore","System.Collections.IList,System.Collections.IList","M:DSCore.List.SortByKey(System.Collections.IList,System.Collections.IList)","Sort list based on its keys"
"List.GroupByKey","M:DSCore","System.Collections.IList,System.Collections.IList","M:DSCore.List.GroupByKey(System.Collections.IList,System.Collections.IList)","Group items into sub-lists based on their like key values"
"List.AddItemToFront","M:DSCore","System.Object,System.Collections.IList","M:DSCore.List.AddItemToFront(System.Object,System.Collections.IList)","Adds an item to the beginning of a list."
"List.AddItemToEnd","M:DSCore","System.Object,System.Collections.IList","M:DSCore.List.AddItemToEnd(System.Object,System.Collections.IList)","Adds an item to the end of a list."
"List.TakeItems","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.TakeItems(System.Collections.IList,System.Int32)","Fetches an amount of items from the start of the list."
"List.DropItems","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.DropItems(System.Collections.IList,System.Int32)","Removes an amount of items from the start of the list. If the amount is a negative value,items are removed from the end of the list."
"List.ShiftIndices","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.ShiftIndices(System.Collections.IList,System.Int32)","Shifts indices in the list to the right by the given amount."
"List.GetItemAtIndex","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.GetItemAtIndex(System.Collections.IList,System.Int32)","Returns an item from the given list that's located at the specified index."
"List.ReplaceItemAtIndex","M:DSCore","System.Collections.IList,System.Int32,System.Object","M:DSCore.List.ReplaceItemAtIndex(System.Collections.IList,System.Int32,System.Object)","Replace an item from the given list that's located at the specified index."
"List.Slice","M:DSCore","System.Collections.IList,System.Nullable{System.Int32},System.Nullable{System.Int32},System.Int32","M:DSCore.List.Slice(System.Collections.IList,System.Nullable{System.Int32},System.Nullable{System.Int32},System.Int32)","Returns a single sub-list from the given list, based on starting index, ending index,and a step amount."
"List.RemoveItemAtIndex","M:DSCore","System.Collections.IList,System.Int32[]","M:DSCore.List.RemoveItemAtIndex(System.Collections.IList,System.Int32[])","Removes an item from the given list at the specified index."
"List.DropEveryNthItem","M:DSCore","System.Collections.IList,System.Int32,System.Int32","M:DSCore.List.DropEveryNthItem(System.Collections.IList,System.Int32,System.Int32)","Removes items from the given list at indices that are multiplesof the given value, after the given offset."
"List.TakeEveryNthItem","M:DSCore","System.Collections.IList,System.Int32,System.Int32","M:DSCore.List.TakeEveryNthItem(System.Collections.IList,System.Int32,System.Int32)","Fetches items from the given list at indices that are multiplesof the given value, after the given offset."
"List.IsEmpty","M:DSCore","System.Collections.IList","M:DSCore.List.IsEmpty(System.Collections.IList)","Determines if the given list is empty."
"List.AllTrue","M:DSCore","System.Collections.IList","M:DSCore.List.AllTrue(System.Collections.IList)","Determines if all items in the given list is a boolean and has a true value."
"List.AllFalse","M:DSCore","System.Collections.IList","M:DSCore.List.AllFalse(System.Collections.IList)","Determines if all items in the given list is a boolean and has a false value."
"List.Count","M:DSCore","System.Collections.IList","M:DSCore.List.Count(System.Collections.IList)","Returns the number of items stored in the given list."
"List.Join","M:DSCore","System.Collections.IList[]","M:DSCore.List.Join(System.Collections.IList[])","Concatenates all given lists into a single list."
"List.FirstItem","M:DSCore","System.Collections.IList","M:DSCore.List.FirstItem(System.Collections.IList)","Returns the first item in a list."
"List.RestOfItems","M:DSCore","System.Collections.IList","M:DSCore.List.RestOfItems(System.Collections.IList)","Removes the first item from the given list."
"List.Chop","M:DSCore","System.Collections.IList,System.Collections.Generic.List{System.Int32}","M:DSCore.List.Chop(System.Collections.IList,System.Collections.Generic.List{System.Int32})","Chop a list into a set of consecutive sublists with the specified lengths. List division begins at the top of the list."
"List.DiagonalRight","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.DiagonalRight(System.Collections.IList,System.Int32)","List elements along each diagonal in the matrix from the top left to the lower right."
"List.DiagonalLeft","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.DiagonalLeft(System.Collections.IList,System.Int32)","List elements along each diagonal in the matrix from the top right to the lower left."
"List.Transpose","M:DSCore","System.Collections.IList","M:DSCore.List.Transpose(System.Collections.IList)","Swaps rows and columns in a list of lists. If there are some rows that are shorter than others,null values are inserted as place holders in the resultant array such that it is always rectangular."
"List.Clean","M:DSCore","System.Collections.IList,System.Boolean","M:DSCore.List.Clean(System.Collections.IList,System.Boolean)","Cleans data of nulls and empty lists from a given list of arbitrary dimension"
"List.OfRepeatedItem","M:DSCore","System.Object,System.Int32","M:DSCore.List.OfRepeatedItem(System.Object,System.Int32)","Creates a list containing the given item the given number of times."
"List.Cycle","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.Cycle(System.Collections.IList,System.Int32)","Creates a new list by concatenining copies of a given list."
"List.LastItem","M:DSCore","System.Collections.IList","M:DSCore.List.LastItem(System.Collections.IList)","Retrieves the last item in a list."
"List.Shuffle","M:DSCore","System.Collections.IList","M:DSCore.List.Shuffle(System.Collections.IList)","Shuffles a list, randomizing the order of its items."
"List.Permutations","M:DSCore","System.Collections.IList,System.Nullable{System.Int32}","M:DSCore.List.Permutations(System.Collections.IList,System.Nullable{System.Int32})","Produces all permutations of the given length of a given list."
"List.Combinations","M:DSCore","System.Collections.IList,System.Int32,System.Boolean","M:DSCore.List.Combinations(System.Collections.IList,System.Int32,System.Boolean)","Produces all combinations of the given length of a given list."
"List.FirstIndexOf","M:DSCore","System.Collections.IList,System.Object","M:DSCore.List.FirstIndexOf(System.Collections.IList,System.Object)","Given an item, returns the zero-based index of its first occurrence in the list. If the item cannot be found in the list, -1 is returned."
"List.AllIndicesOf","M:DSCore","System.Collections.IList,System.Object","M:DSCore.List.AllIndicesOf(System.Collections.IList,System.Object)","Given an item, returns the zero-based indices of all its occurrencesin the list. If the item cannot be found, an empty list is returned."
"List.Flatten","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.Flatten(System.Collections.IList,System.Int32)","Flattens a nested list of lists by a certain amount."
"List.IndexInList","M:DSCore","System.Collections.IList,System.Object","M:DSCore.List.IndexInList(System.Collections.IList,System.Object)","An alternative to using IList.Contains which uses Enumerable.SequenceEqual to check ifthe item is contained in the list if the item is an array. Returns the index if found, -1 if not found."
"List.GetDepth","M:DSCore","System.Object","M:DSCore.List.GetDepth(System.Object)","Obtain the maximum depth of a given list."
"List.CountBool","M:DSCore","System.Collections.IList,System.Boolean","M:DSCore.List.CountBool(System.Collections.IList,System.Boolean)","Returns the number of the specified boolean values in the given list."
"List.IncreaseDepth","M:DSCore","System.Collections.IList,System.Int32","M:DSCore.List.IncreaseDepth(System.Collections.IList,System.Int32)","Increase the depth of a given list by a specified amount. Depth is increasedby creating a new list to contain the given list."
"List.DoubleConverter","M:DSCore","System.Object","M:DSCore.List.DoubleConverter(System.Object)","Converts integer to double, else returns the input object."
"ObjectComparer","T:DSCore","","T:DSCore.ObjectComparer","Implements Compare function for two objects using following rule.1. Numbers are assumed to be smallest, then bool, string and pointers.2. If the two objects are IComparable and of the same type, then useit's native comparison mechanism.3. If both inputs are value type, but one of them is bool, bool is bigger4. Otherwise Convert them all to double and compare.5. Else If only one is value type, then value type object is smaller6. Else If only one is string, then the string is smaller than other7. Else don't know how to compare, so best campare them based on HashCode."
"Math","T:DSCore","","T:DSCore.Math","Methods for performing Mathematical operations."
"Math.Random","M:DSCore","System.Nullable{System.Int32}","M:DSCore.Math.Random(System.Nullable{System.Int32})","Generates a random double in the range of [0, 1)."
"Math.Random","M:DSCore","System.Double,System.Double","M:DSCore.Math.Random(System.Double,System.Double)","Produce a random number in the range [lower_number, higher_number)."
"Math.RandomList","M:DSCore","System.Int32","M:DSCore.Math.RandomList(System.Int32)","Produces a list containing the given amount of random doublesin the range of [0, 1)."
"Math.PiTimes2","P:DSCore","","P:DSCore.Math.PiTimes2","Pi Constant Multiplied by 2"
"Math.Average","M:DSCore","System.Collections.Generic.IList{System.Double}","M:DSCore.Math.Average(System.Collections.Generic.IList{System.Double})","Averages a list of numbers."
"Math.Map","M:DSCore","System.Double,System.Double,System.Double","M:DSCore.Math.Map(System.Double,System.Double,System.Double)","Maps the input value to a number between 0 and 1 based on the input range."
"Math.MapTo","M:DSCore","System.Double,System.Double,System.Double,System.Double,System.Double","M:DSCore.Math.MapTo(System.Double,System.Double,System.Double,System.Double,System.Double)","Maps the input value to a number between targetRangeMin and targetRangeMax."
"Math.RemapRange","M:DSCore","System.Collections.Generic.IList{System.Double},System.Double,System.Double","M:DSCore.Math.RemapRange(System.Collections.Generic.IList{System.Double},System.Double,System.Double)","Adjusts the range of a list of numbers while preserving thedistribution ratio."
"Math.kRadiansToDegrees","F:DSCore","","F:DSCore.Math.kRadiansToDegrees","move the functions/methods from Math.dll to this DSCoreNode.dll"
"Math.PI","P:DSCore","","P:DSCore.Math.PI","The mathematical constant Pi, 3.14159..."
"Math.E","P:DSCore","","P:DSCore.Math.E","The mathematical constant e, 2.71828..."
"Math.GoldenRatio","P:DSCore","","P:DSCore.Math.GoldenRatio","The golden ratio, (1 + sqrt(5))/2 = 1.61803..."
"Math.RadiansToDegrees","M:DSCore","System.Double","M:DSCore.Math.RadiansToDegrees(System.Double)","Converts an angle in radians to an angle in degrees."
"Math.DegreesToRadians","M:DSCore","System.Double","M:DSCore.Math.DegreesToRadians(System.Double)","Converts an angle in degrees to an angle in radians."
"Math.Abs","M:DSCore","System.Double","M:DSCore.Math.Abs(System.Double)","Finds the absolute value of a number."
